ID,Uid,age,sex,labor,repic_sid,best_weight,last_weight
369,370,39,男,重,95:112:881:671:96:946:243:874:94:285:178:34:828:469:445:124:815:444:621:634:908:911,128.0:9.0:286.0:108.0:9.0:165.0:258.0:13.0:9.0:153.0:151.0:101.0:14.0:56.0:191.0:139.0:9.0:27.0:76.0:35.0:10.0:40.0,10.0:9.0:246.0:57.0:82.0:39.0:131.0:54.0:10.0:273.0:9.0:150.0:9.0:9.0:9.0:9.0:9.0:330.0:9.0:9.0:39.0:10.0
370,371,36,女,轻,667:870:664:937:5:198:626:63:810:910:543:908:885:909:453:120:164:108,10.0:265.0:9.0:49.0:134.0:373.0:83.0:15.0:43.0:9.0:89.0:34.0:33.0:32.0:172.0:9.0:9.0:100.0,65.0:9.0:9.0:40.0:137.0:399.0:9.0:13.0:10.0:27.0:305.0:10.0:292.0:12.0:44.0:9.0:9.0:100.0
371,372,30,男,中,667:685:910:909:670:929:1051:954:870:874:902:809:834:213:99:476:23:160:125:661:631,23.0:10.0:40.0:10.0:10.0:9.0:96.0:9.0:72.0:49.0:180.0:10.0:13.0:431.0:102.0:325.0:149.0:9.0:9.0:9.0:9.0,10.0:10.0:10.0:40.0:10.0:43.0:20.0:10.0:19.0:99.0:180.0:35.0:10.0:299.0:102.0:200.0:149.0:9.0:9.0:9.0:9.0
372,373,41,女,中,63:71:226:700:708:885:268:190:690:881:817:630:620:101:934:911:132:595:459,53.0:97.0:307.0:10.0:43.0:121.0:41.0:42.0:10.0:178.0:10.0:82.0:73.0:100.0:68.0:105.0:9.0:113.0:237.0,10.0:140.0:97.0:44.0:10.0:10.0:10.0:393.0:10.0:290.0:10.0:16.0:9.0:100.0:40.0:48.0:9.0:160.0:114.0
373,374,35,女,中,95:626:627:870:840:859:94:906:110:661:872:584:77:10:934:953:930:247:276:212:115:136:678:909,20.0:9.0:9.0:76.0:32.0:32.0:32.0:48.0:47.0:9.0:176.0:283.0:80.0:70.0:32.0:10.0:10.0:10.0:210.0:163.0:9.0:9.0:10.0:40.0,19.0:9.0:9.0:77.0:10.0:32.0:12.0:40.0:69.0:9.0:183.0:298.0:48.0:101.0:12.0:16.0:12.0:24.0:268.0:119.0:9.0:9.0:18.0:40.0
374,375,37,女,重,941:688:604:1049:669:116:127:816:856:128:666:921:58:98:219:894:873,10.0:48.0:200.0:65.0:9.0:83.0:9.0:54.0:9.0:9.0:160.0:45.0:96.0:154.0:299.0:196.0:103.0,10.0:10.0:350.0:65.0:20.0:9.0:9.0:10.0:29.0:9.0:9.0:39.0:151.0:100.0:375.0:119.0:181.0
375,376,30,女,中,97:685:1:26:687:680:31:875:889:876:186:338:203:134:124:112:814:451:521:636:663:922:1024:970,101.0:10.0:59.0:54.0:19.0:10.0:38.0:204.0:55.0:42.0:323.0:43.0:50.0:9.0:13.0:9.0:10.0:168.0:126.0:9.0:9.0:50.0:10.0:48.0,100.0:10.0:43.0:36.0:10.0:38.0:71.0:228.0:61.0:11.0:201.0:27.0:169.0:9.0:9.0:9.0:10.0:127.0:132.0:10.0:9.0:40.0:41.0:10.0
376,377,34,女,重,97:110:94:23:88:877:468:453:479:637:633:653:867:689:911:908:112:204:972,13.0:36.0:50.0:40.0:109.0:242.0:182.0:74.0:35.0:9.0:9.0:9.0:40.0:15.0:41.0:9.0:9.0:423.0:60.0,46.0:18.0:37.0:40.0:110.0:273.0:107.0:10.0:186.0:9.0:9.0:9.0:35.0:10.0:10.0:40.0:9.0:300.0:39.0
377,378,22,男,中,106:94:632:919:630:1031:930:871:625:872:98:932:445:811:842:686:684:667:175:200:198:284:33:47,56.0:25.0:9.0:182.0:9.0:78.0:9.0:55.0:78.0:245.0:20.0:9.0:236.0:9.0:60.0:9.0:26.0:9.0:9.0:320.0:47.0:27.0:137.0:15.0,82.0:10.0:10.0:40.0:9.0:10.0:10.0:145.0:9.0:155.0:10.0:23.0:350.0:10.0:12.0:10.0:10.0:31.0:9.0:414.0:10.0:75.0:131.0:17.0
378,379,36,男,中,913:829:666:918:620:908:48:870:871:9:886:1:826:809:683:99:477:500:113:316:941,9.0:10.0:107.0:9.0:91.0:35.0:11.0:47.0:14.0:11.0:241.0:129.0:10.0:34.0:21.0:99.0:246.0:104.0:133.0:458.0:75.0,10.0:10.0:10.0:10.0:15.0:30.0:130.0:247.0:38.0:9.0:17.0:9.0:37.0:11.0:10.0:101.0:9.0:342.0:10.0:404.0:45.0
