ID,Uid,age,sex,labor,repic_sid,best_weight,last_weight
0,1,33,男,重,636:929:908:870:444:935:101:663:911:693:844:877:573:480:919:943:94:110:4:22:212:311:301:173,9.0:10.0:10.0:114.0:101.0:50.0:10.0:53.0:10.0:28.0:47.0:186.0:107.0:142.0:30.0:10.0:87.0:10.0:91.0:53.0:237.0:10.0:163.0:37.0,10.0:10.0:10.0:125.0:101.0:41.0:10.0:15.0:10.0:28.0:47.0:175.0:107.0:142.0:30.0:10.0:80.0:10.0:74.0:76.0:288.0:10.0:163.0:10.0
1,2,45,女,中,809:810:698:120:128:870:763:880:814:906:667:929:942:950:925:908:622:629:96:101:447:207:2,10.0:25.0:10.0:9.0:9.0:145.0:10.0:64.0:10.0:93.0:10.0:36.0:29.0:10.0:10.0:40.0:9.0:9.0:10.0:90.0:275.0:398.0:150.0,10.0:10.0:25.0:9.0:9.0:168.0:10.0:52.0:10.0:78.0:10.0:10.0:31.0:34.0:40.0:10.0:9.0:9.0:91.0:9.0:270.0:300.0:149.0
2,3,26,女,重,510:111:923:809:9:667:120:646:810:634:813:167:908:930:1:485:94:617:641:938:115:915:929:216:886:883,206.0:10.0:10.0:9.0:93.0:45.0:9.0:9.0:9.0:9.0:9.0:9.0:29.0:10.0:56.0:51.0:90.0:25.0:9.0:10.0:9.0:10.0:35.0:309.0:143.0:158.0,206.0:11.0:10.0:10.0:90.0:45.0:9.0:9.0:10.0:10.0:10.0:9.0:29.0:10.0:60.0:51.0:91.0:25.0:9.0:10.0:9.0:10.0:35.0:311.0:142.0:157.0
3,4,29,男,重,878:926:843:667:841:685:902:870:909:680:829:910:13:9:216:193:492:454:933:929:123:161:624:96,70.0:9.0:9.0:9.0:27.0:9.0:120.0:111.0:9.0:9.0:9.0:41.0:22.0:129.0:80.0:340.0:314.0:22.0:25.0:50.0:15.0:10.0:10.0:101.0,14.0:10.0:10.0:10.0:10.0:13.0:183.0:101.0:22.0:10.0:10.0:17.0:15.0:135.0:36.0:369.0:100.0:250.0:39.0:10.0:10.0:10.0:15.0:100.0
4,5,38,女,中,930:191:1:9:344:672:667:74:668:826:915:924:113:164:451:605:108:106:631:641:894,39.0:67.0:10.0:67.0:334.0:32.0:15.0:71.0:9.0:10.0:10.0:37.0:9.0:9.0:44.0:206.0:79.0:20.0:9.0:9.0:250.0,40.0:67.0:12.0:67.0:337.0:32.0:15.0:73.0:10.0:10.0:10.0:37.0:9.0:9.0:44.0:206.0:79.0:20.0:8.0:9.0:256.0
5,6,25,女,重,470:814:820:836:909:872:870:920:908:871:133:667:738:94:945:940:954:647:213:45,218.0:9.0:9.0:112.0:70.0:205.0:19.0:9.0:80.0:76.0:49.0:51.0:9.0:100.0:24.0:9.0:42.0:17.0:391.0:151.0,351.0:9.0:9.0:35.0:30.0:255.0:23.0:10.0:10.0:23.0:9.0:9.0:9.0:101.0:10.0:37.0:10.0:25.0:300.0:150.0
6,7,40,女,重,108:872:926:621:871:6:7:852:908:199:13:185:918:620:638:858:818:930:470:444:181:130:668,100.0:196.0:34.0:9.0:104.0:10.0:10.0:9.0:9.0:402.0:129.0:84.0:9.0:62.0:9.0:9.0:9.0:65.0:83.0:117.0:70.0:12.0:84.0,100.0:138.0:10.0:9.0:162.0:10.0:10.0:9.0:10.0:431.0:131.0:50.0:30.0:9.0:9.0:9.0:9.0:39.0:9.0:341.0:9.0:9.0:45.0
7,8,33,女,重,53:94:95:25:919:625:552:885:927:902:449:647:893:632:454:822:826:672:186:203:338:1055:116,105.0:90.0:10.0:45.0:10.0:9.0:45.0:114.0:40.0:62.0:13.0:9.0:122.0:9.0:233.0:10.0:10.0:47.0:264.0:10.0:115.0:60.0:9.0,26.0:10.0:90.0:124.0:10.0:9.0:149.0:221.0:40.0:61.0:78.0:9.0:16.0:9.0:55.0:42.0:10.0:10.0:152.0:219.0:35.0:40.0:9.0
8,9,42,女,重,835:870:112:682:939:929:951:468:920:646:568:288:633:125:521:809:5:1:908:32:192:301:922:99,10.0:299.0:9.0:50.0:10.0:51.0:10.0:57.0:30.0:9.0:10.0:104.0:10.0:9.0:281.0:10.0:22.0:109.0:10.0:22.0:181.0:108.0:10.0:101.0,10.0:301.0:9.0:48.0:10.0:51.0:10.0:56.0:30.0:9.0:10.0:104.0:9.0:9.0:283.0:10.0:21.0:109.0:10.0:21.0:181.0:108.0:10.0:101.0
9,10,28,女,重,142:55:151:881:823:668:1023:230:937:677:630:189:293:643:634:878:98:102:909:910:502,9.0:151.0:9.0:130.0:50.0:10.0:34.0:206.0:10.0:10.0:9.0:108.0:184.0:9.0:9.0:170.0:26.0:75.0:31.0:10.0:284.0,9.0:150.0:9.0:144.0:44.0:10.0:30.0:206.0:10.0:10.0:9.0:108.0:165.0:9.0:9.0:157.0:26.0:75.0:27.0:13.0:284.0
10,11,20,女,重,922:211:94:908:910:276:809:492:668:620:300:942:133:667:708:117:638:872:61,63.0:345.0:100.0:9.0:9.0:51.0:32.0:231.0:73.0:9.0:31.0:61.0:9.0:9.0:9.0:9.0:9.0:300.0:150.0,30.0:369.0:100.0:10.0:10.0:51.0:9.0:287.0:45.0:9.0:31.0:45.0:9.0:9.0:9.0:9.0:9.0:300.0:150.0
11,12,35,女,中,12:20:96:645:704:815:870:622:873:193:763:453:95:833:40:238:449:902:185:94:116:125:960:930:1025:915,84.0:36.0:11.0:9.0:10.0:26.0:73.0:9.0:90.0:81.0:10.0:182.0:11.0:10.0:32.0:304.0:167.0:136.0:27.0:81.0:9.0:9.0:16.0:35.0:10.0:40.0,77.0:10.0:10.0:9.0:10.0:25.0:93.0:9.0:100.0:81.0:10.0:182.0:10.0:10.0:64.0:304.0:167.0:106.0:27.0:80.0:9.0:9.0:16.0:34.0:10.0:40.0
12,13,28,女,中,71:868:95:919:703:130:645:874:300:875:13:94:901:114:1:106:113:820:815:614:444:935,74.0:10.0:65.0:53.0:37.0:9.0:9.0:216.0:397.0:34.0:13.0:27.0:47.0:9.0:63.0:11.0:9.0:10.0:10.0:341.0:10.0:58.0,12.0:37.0:82.0:39.0:10.0:9.0:9.0:108.0:300.0:138.0:127.0:10.0:54.0:9.0:12.0:10.0:9.0:10.0:10.0:14.0:280.0:40.0
13,14,25,女,重,911:620:623:809:621:871:872:458:94:34:37:1011:698:710:284:139:134,45.0:222.0:10.0:123.0:9.0:143.0:158.0:338.0:89.0:9.0:150.0:62.0:9.0:9.0:403.0:9.0:9.0,50.0:9.0:9.0:10.0:9.0:165.0:136.0:352.0:100.0:139.0:10.0:49.0:10.0:53.0:501.0:9.0:9.0
14,15,39,女,轻,109:42:444:194:314:679:94:500:675:573:624:151:148:112:835:941:956:940:912:896:873,91.0:150.0:57.0:198.0:225.0:55.0:11.0:64.0:10.0:171.0:9.0:9.0:9.0:9.0:10.0:10.0:44.0:16.0:50.0:64.0:236.0,91.0:150.0:57.0:198.0:225.0:55.0:11.0:64.0:10.0:171.0:9.0:9.0:9.0:9.0:10.0:10.0:44.0:16.0:50.0:56.0:243.0
15,16,35,女,轻,521:874:646:658:820:877:483:829:578:837:653:32:1045:121:112:130:700:109:908:916:223:209:214,28.0:281.0:9.0:9.0:10.0:19.0:178.0:10.0:10.0:26.0:9.0:149.0:52.0:9.0:9.0:8.0:10.0:100.0:30.0:10.0:333.0:33.0:21.0,28.0:281.0:9.0:9.0:10.0:19.0:178.0:10.0:10.0:26.0:9.0:149.0:52.0:9.0:9.0:9.0:10.0:100.0:30.0:10.0:333.0:33.0:21.0
16,17,20,男,中,617:463:622:661:113:145:946:929:1003:909:920:873:24:41:816:820:667:94:96:212,340.0:10.0:9.0:33.0:54.0:9.0:64.0:9.0:9.0:83.0:9.0:300.0:62.0:88.0:9.0:9.0:66.0:85.0:15.0:363.0,311.0:38.0:9.0:10.0:9.0:9.0:46.0:10.0:10.0:40.0:10.0:299.0:56.0:94.0:10.0:10.0:55.0:10.0:90.0:370.0
17,18,22,男,轻,809:871:881:105:818:887:108:104:718:679:7:1005:909:911:908:125:338:637:574,45.0:149.0:105.0:82.0:10.0:46.0:11.0:11.0:10.0:10.0:151.0:62.0:30.0:10.0:10.0:25.0:404.0:10.0:268.0,45.0:153.0:109.0:80.0:10.0:40.0:10.0:10.0:10.0:10.0:149.0:55.0:30.0:10.0:10.0:25.0:412.0:10.0:268.0
18,19,29,男,重,101:7:928:925:870:21:881:5:908:883:930:1031:939:811:163:125:115:204:195:287:558:444:675:660,75.0:11.0:81.0:25.0:11.0:43.0:169.0:118.0:86.0:122.0:9.0:9.0:194.0:41.0:148.0:9.0:83.0:408.0:24.0:67.0:73.0:252.0:138.0:9.0,101.0:10.0:10.0:10.0:19.0:10.0:176.0:130.0:30.0:106.0:25.0:35.0:10.0:10.0:9.0:9.0:9.0:165.0:44.0:230.0:9.0:341.0:63.0:9.0
19,20,44,男,轻,120:490:819:94:817:670:63:74:103:106:668:991:189:193:622:908:891,12.0:350.0:24.0:29.0:10.0:14.0:17.0:133.0:63.0:11.0:9.0:40.0:199.0:200.0:13.0:46.0:201.0,25.0:350.0:10.0:80.0:28.0:11.0:95.0:55.0:10.0:10.0:10.0:39.0:136.0:236.0:10.0:39.0:299.0
20,21,21,女,中,872:919:929:94:632:488:885:869:450:880:444:829:636:639:1:675:244:233:138:153,101.0:50.0:70.0:132.0:9.0:53.0:159.0:10.0:43.0:42.0:142.0:53.0:9.0:9.0:117.0:11.0:215.0:185.0:9.0:9.0,29.0:44.0:44.0:100.0:9.0:116.0:240.0:34.0:212.0:29.0:10.0:31.0:9.0:9.0:148.0:10.0:282.0:125.0:9.0:9.0
21,22,29,女,重,653:942:935:646:627:1031:212:671:746:879:111:97:173:112:119:915:18:467:521:818:825,9.0:33.0:10.0:9.0:9.0:10.0:300.0:10.0:17.0:122.0:10.0:152.0:9.0:9.0:9.0:40.0:76.0:198.0:73.0:28.0:10.0,9.0:33.0:10.0:9.0:9.0:10.0:299.0:10.0:17.0:122.0:10.0:152.0:9.0:9.0:9.0:40.0:77.0:198.0:73.0:28.0:10.0
22,23,28,女,中,127:850:908:928:28:632:113:842:836:661:644:1:79:117:669:667:98:101:953:185:191:460:898,23.0:10.0:42.0:9.0:12.0:8.0:9.0:10.0:11.0:9.0:9.0:66.0:70.0:9.0:10.0:19.0:55.0:44.0:40.0:297.0:203.0:287.0:148.0,9.0:21.0:31.0:10.0:41.0:9.0:9.0:10.0:10.0:9.0:9.0:58.0:48.0:9.0:10.0:10.0:64.0:35.0:40.0:198.0:209.0:351.0:298.0
23,24,25,女,中,913:976:777:248:912:870:974:891:908:686:185:948:192:118:500:453:104:110:826:628:634:83,10.0:28.0:10.0:259.0:11.0:167.0:10.0:133.0:29.0:24.0:116.0:28.0:51.0:12.0:166.0:183.0:72.0:30.0:23.0:10.0:9.0:149.0,10.0:22.0:30.0:53.0:30.0:170.0:19.0:129.0:10.0:10.0:281.0:28.0:106.0:10.0:38.0:291.0:23.0:77.0:22.0:10.0:10.0:150.0
24,25,24,女,轻,106:827:189:909:880:944:809:119:68:116:705:871:2:725:886:908:1012:735:919:810:112:479:629,98.0:9.0:398.0:30.0:14.0:34.0:9.0:9.0:58.0:9.0:25.0:90.0:90.0:9.0:197.0:10.0:28.0:9.0:10.0:9.0:9.0:289.0:9.0,100.0:10.0:389.0:21.0:24.0:20.0:24.0:9.0:90.0:9.0:10.0:163.0:58.0:11.0:114.0:12.0:34.0:10.0:15.0:10.0:9.0:200.0:9.0
25,26,20,女,轻,905:871:925:908:508:625:91:902:460:1:587:917:206:200:121:820:930:940:108:96:728,58.0:213.0:30.0:10.0:132.0:10.0:88.0:29.0:26.0:61.0:166.0:10.0:131.0:272.0:25.0:15.0:27.0:20.0:81.0:19.0:25.0,68.0:185.0:30.0:10.0:238.0:10.0:75.0:49.0:10.0:73.0:102.0:10.0:195.0:216.0:25.0:32.0:32.0:10.0:90.0:10.0:10.0
26,27,45,女,中,912:467:536:610:887:870:874:952:990:809:830:4:100:205:222:124:117:791:667:659:621,50.0:180.0:18.0:151.0:165.0:68.0:68.0:10.0:38.0:43.0:10.0:150.0:100.0:201.0:229.0:9.0:9.0:10.0:10.0:9.0:9.0,39.0:180.0:18.0:151.0:134.0:83.0:83.0:20.0:20.0:23.0:10.0:150.0:101.0:201.0:229.0:9.0:9.0:10.0:10.0:9.0:9.0
27,28,28,男,重,7:933:1061:957:139:110:119:809:95:819:1:113:21:94:815:682:693:200:210:633:646:661:871:883:919:918:495:598,39.0:10.0:38.0:13.0:9.0:29.0:43.0:29.0:62.0:73.0:9.0:9.0:100.0:10.0:9.0:64.0:9.0:326.0:173.0:67.0:12.0:93.0:10.0:290.0:38.0:12.0:109.0:241.0,10.0:10.0:9.0:24.0:9.0:82.0:9.0:10.0:9.0:10.0:130.0:9.0:10.0:9.0:10.0:10.0:35.0:491.0:10.0:9.0:9.0:9.0:189.0:111.0:20.0:30.0:299.0:29.0
28,29,37,男,重,919:690:116:95:676:943:100:909:929:763:114:94:1032:510:12:56:879:881:624:218:194:857,28.0:9.0:118.0:54.0:9.0:14.0:9.0:22.0:50.0:52.0:9.0:114.0:10.0:253.0:10.0:140.0:227.0:73.0:9.0:202.0:218.0:62.0,10.0:10.0:10.0:80.0:21.0:10.0:11.0:33.0:10.0:10.0:10.0:11.0:39.0:305.0:11.0:141.0:288.0:10.0:14.0:331.0:116.0:10.0
29,30,37,男,重,123:990:276:870:191:13:810:458:120:929:708:98:871:86:627:521:660:94:886:622:921,9.0:9.0:217.0:239.0:83.0:82.0:44.0:70.0:9.0:69.0:190.0:66.0:10.0:67.0:221.0:253.0:9.0:59.0:51.0:35.0:102.0,9.0:10.0:202.0:252.0:199.0:10.0:34.0:10.0:9.0:43.0:10.0:90.0:24.0:141.0:9.0:341.0:9.0:10.0:24.0:9.0:50.0
30,31,31,女,中,15:86:675:667:886:883:727:874:970:931:210:311:102:104:511:627:114:813:910,33.0:118.0:9.0:9.0:226.0:36.0:134.0:36.0:10.0:59.0:407.0:46.0:31.0:70.0:302.0:25.0:10.0:95.0:41.0,99.0:49.0:18.0:36.0:164.0:127.0:9.0:11.0:32.0:32.0:289.0:114.0:10.0:91.0:323.0:10.0:16.0:9.0:49.0
31,32,38,男,中,937:620:621:94:103:938:1004:127:40:8:842:912:500:877:899:283:674,35.0:15.0:10.0:91.0:11.0:22.0:10.0:10.0:55.0:97.0:47.0:50.0:221.0:237.0:64.0:403.0:9.0,10.0:10.0:10.0:9.0:90.0:10.0:52.0:15.0:49.0:102.0:49.0:50.0:267.0:128.0:172.0:299.0:9.0
32,33,20,男,中,245:98:908:568:449:667:643:927:222:909:870:872:123:990:51:862,76.0:50.0:75.0:87.0:192.0:135.0:98.0:9.0:225.0:9.0:99.0:202.0:9.0:89.0:259.0:9.0,152.0:100.0:30.0:10.0:341.0:65.0:25.0:10.0:259.0:10.0:10.0:291.0:9.0:39.0:151.0:9.0
33,34,20,女,中,956:94:873:3:871:815:96:630:953:268:63:635:71:816:673:713:202:870:690:208:184:926:919:525,47.0:91.0:13.0:65.0:274.0:10.0:11.0:15.0:16.0:125.0:17.0:10.0:70.0:21.0:14.0:19.0:33.0:13.0:11.0:281.0:10.0:10.0:39.0:267.0,42.0:90.0:39.0:66.0:223.0:10.0:10.0:15.0:16.0:125.0:11.0:10.0:72.0:21.0:14.0:19.0:29.0:39.0:11.0:249.0:10.0:10.0:39.0:220.0
34,35,40,女,中,640:120:951:938:219:34:463:101:98:809:924:679:919:810:812:119:556:661:200:553:36:1:875,42.0:87.0:58.0:10.0:36.0:10.0:137.0:158.0:9.0:32.0:19.0:9.0:31.0:9.0:63.0:9.0:132.0:9.0:377.0:80.0:83.0:10.0:300.0,9.0:9.0:22.0:18.0:36.0:42.0:137.0:90.0:10.0:15.0:19.0:10.0:30.0:10.0:29.0:9.0:132.0:9.0:424.0:80.0:72.0:34.0:301.0
35,36,37,女,轻,627:914:147:734:453:131:896:832:187:881:908:869:121:220:103:870:817:104:800:663:712:910:620:31:931,9.0:28.0:9.0:25.0:264.0:9.0:58.0:10.0:37.0:91.0:10.0:10.0:9.0:390.0:50.0:152.0:10.0:49.0:10.0:9.0:10.0:10.0:9.0:150.0:45.0,9.0:30.0:9.0:18.0:288.0:9.0:38.0:10.0:275.0:77.0:10.0:10.0:9.0:135.0:52.0:188.0:10.0:49.0:17.0:9.0:10.0:10.0:9.0:150.0:40.0
36,37,44,女,中,14:476:481:908:870:876:33:544:928:871:13:915:967:961:660:624:137:120:99:94:856:309:668:677,114.0:122.0:176.0:30.0:100.0:104.0:19.0:50.0:10.0:98.0:19.0:10.0:10.0:36.0:9.0:9.0:9.0:9.0:82.0:21.0:18.0:404.0:10.0:36.0,61.0:86.0:224.0:30.0:120.0:150.0:79.0:40.0:10.0:31.0:10.0:10.0:30.0:10.0:9.0:9.0:9.0:9.0:18.0:82.0:10.0:344.0:10.0:30.0
37,38,28,男,轻,632:63:934:870:738:641:889:929:212:95:103:1:195:94:625:83:471:914:919:119:120:818,39.0:62.0:44.0:275.0:31.0:9.0:24.0:10.0:254.0:66.0:18.0:45.0:132.0:18.0:9.0:44.0:334.0:10.0:38.0:9.0:16.0:38.0,9.0:35.0:40.0:291.0:15.0:9.0:10.0:10.0:276.0:11.0:81.0:73.0:115.0:11.0:9.0:45.0:301.0:10.0:40.0:9.0:9.0:58.0
38,39,43,女,中,830:141:873:230:867:826:620:160:112:621:881:186:870:185:91:5:940:448:765:100:914:924,98.0:9.0:108.0:263.0:9.0:9.0:9.0:9.0:69.0:52.0:59.0:122.0:135.0:69.0:123.0:27.0:69.0:287.0:46.0:100.0:61.0:9.0,15.0:9.0:9.0:91.0:10.0:38.0:9.0:9.0:9.0:9.0:280.0:242.0:9.0:44.0:86.0:64.0:40.0:350.0:10.0:101.0:41.0:10.0
39,40,40,男,重,94:738:450:643:287:928:32:132:908:120:575:95:812:918:819:878:932,41.0:10.0:10.0:10.0:404.0:25.0:151.0:15.0:14.0:10.0:340.0:60.0:10.0:10.0:30.0:300.0:41.0,10.0:34.0:103.0:10.0:353.0:11.0:149.0:10.0:28.0:15.0:247.0:90.0:10.0:10.0:23.0:300.0:40.0
40,41,38,女,中,961:95:97:94:949:811:940:910:920:1:35:152:652:261:232:202:468:599:875:870:691,10.0:11.0:11.0:81.0:34.0:40.0:28.0:20.0:30.0:58.0:94.0:10.0:25.0:129.0:70.0:182.0:198.0:89.0:280.0:21.0:28.0,10.0:10.0:10.0:80.0:34.0:40.0:28.0:20.0:30.0:57.0:94.0:10.0:25.0:129.0:70.0:182.0:198.0:89.0:282.0:18.0:28.0
41,42,44,女,重,924:830:921:556:916:483:844:568:858:674:682:680:94:97:6:946:625:627:873:166:154:211,10.0:10.0:10.0:141.0:29.0:214.0:10.0:74.0:10.0:10.0:10.0:25.0:9.0:109.0:130.0:75.0:32.0:9.0:300.0:77.0:9.0:413.0,10.0:10.0:30.0:281.0:10.0:59.0:10.0:10.0:10.0:10.0:25.0:10.0:10.0:90.0:152.0:54.0:9.0:9.0:299.0:9.0:9.0:500.0
42,43,31,女,轻,886:632:940:926:105:722:646:746:661:521:125:113:94:876:14:832:1:885:220,107.0:9.0:44.0:44.0:15.0:13.0:9.0:23.0:9.0:201.0:9.0:9.0:85.0:9.0:70.0:10.0:77.0:184.0:399.0,130.0:9.0:40.0:44.0:10.0:10.0:9.0:20.0:9.0:200.0:9.0:9.0:90.0:11.0:86.0:10.0:63.0:159.0:329.0
43,44,18,男,中,874:158:62:106:661:737:731:622:813:26:668:531:456:14:112:809:633:188:314:198:950:908:920,300.0:9.0:94.0:101.0:24.0:9.0:56.0:66.0:9.0:24.0:9.0:256.0:10.0:34.0:9.0:9.0:24.0:213.0:216.0:70.0:70.0:10.0:40.0,300.0:9.0:90.0:100.0:9.0:23.0:10.0:9.0:10.0:12.0:22.0:262.0:43.0:49.0:9.0:10.0:9.0:137.0:106.0:158.0:40.0:10.0:40.0
44,45,25,男,轻,667:789:905:534:447:578:102:688:903:95:94:244:197:934:908:914:816:160:126:12:620:644,9.0:9.0:231.0:268.0:55.0:27.0:10.0:46.0:67.0:10.0:126.0:227.0:73.0:43.0:40.0:10.0:9.0:9.0:9.0:102.0:9.0:8.0,13.0:10.0:114.0:62.0:186.0:101.0:10.0:38.0:183.0:10.0:80.0:327.0:59.0:40.0:40.0:10.0:10.0:9.0:9.0:146.0:9.0:9.0
45,46,28,男,中,455:12:112:58:901:669:114:878:646:461:668:746:661:633:922:826:945:188:195:103,193.0:9.0:9.0:140.0:60.0:10.0:9.0:237.0:9.0:156.0:10.0:16.0:9.0:9.0:40.0:10.0:40.0:386.0:37.0:100.0,193.0:10.0:9.0:141.0:61.0:10.0:9.0:238.0:9.0:156.0:10.0:16.0:9.0:9.0:40.0:10.0:39.0:386.0:37.0:99.0
46,47,26,男,中,21:814:123:92:675:188:929:679:23:290:215:120:158:821:809:641:631:918:911:898:520:472:99,60.0:9.0:9.0:77.0:9.0:148.0:61.0:9.0:10.0:260.0:10.0:72.0:9.0:35.0:9.0:9.0:9.0:32.0:10.0:135.0:182.0:48.0:100.0,17.0:10.0:9.0:19.0:10.0:136.0:40.0:10.0:112.0:47.0:197.0:9.0:9.0:26.0:18.0:9.0:8.0:21.0:19.0:300.0:208.0:64.0:99.0
47,48,43,女,轻,870:687:810:908:887:107:207:460:113:94:921:918:640:832:185:809:13:934:941,187.0:10.0:34.0:10.0:114.0:82.0:111.0:258.0:15.0:20.0:15.0:20.0:10.0:10.0:291.0:10.0:151.0:10.0:45.0,188.0:10.0:26.0:10.0:111.0:84.0:111.0:263.0:15.0:16.0:15.0:20.0:10.0:10.0:291.0:10.0:149.0:10.0:34.0
48,49,31,女,轻,500:813:870:444:71:178:908:623:881:96:272:94:620:810:243:910:625:141:95:129:726:668:947:1046,18.0:10.0:17.0:249.0:147.0:19.0:40.0:9.0:284.0:45.0:385.0:45.0:11.0:10.0:32.0:10.0:9.0:9.0:13.0:9.0:34.0:17.0:43.0:14.0,70.0:24.0:40.0:207.0:151.0:9.0:36.0:9.0:259.0:66.0:177.0:17.0:9.0:10.0:199.0:10.0:9.0:9.0:16.0:9.0:10.0:10.0:26.0:30.0
49,50,40,男,中,889:220:881:444:634:815:256:840:688:573:631:243:500:830:926:924:912:888:620:134:139:935:98:105:7,42.0:49.0:73.0:64.0:9.0:10.0:253.0:10.0:10.0:239.0:9.0:115.0:10.0:45.0:9.0:47.0:54.0:187.0:9.0:9.0:39.0:75.0:10.0:90.0:150.0,9.0:10.0:9.0:91.0:9.0:10.0:389.0:45.0:10.0:10.0:10.0:81.0:249.0:10.0:10.0:30.0:10.0:281.0:9.0:9.0:9.0:75.0:77.0:22.0:150.0
50,51,21,女,中,463:31:207:832:815:94:2:913:672:100:98:294:471:734:1:680:961:644:653:118:113:141:899,134.0:85.0:309.0:9.0:9.0:10.0:48.0:50.0:9.0:10.0:80.0:96.0:216.0:35.0:16.0:9.0:56.0:9.0:9.0:9.0:9.0:9.0:157.0,21.0:71.0:192.0:10.0:31.0:80.0:14.0:40.0:10.0:10.0:10.0:109.0:199.0:10.0:64.0:10.0:40.0:8.0:9.0:9.0:9.0:9.0:242.0
51,52,24,男,轻,816:190:935:74:521:885:871:114:941:809:810:2:870:27:908:95:108:684:631,41.0:416.0:10.0:33.0:250.0:108.0:10.0:10.0:45.0:10.0:10.0:33.0:182.0:83.0:50.0:65.0:34.0:10.0:23.0,10.0:404.0:26.0:39.0:200.0:15.0:123.0:10.0:14.0:25.0:10.0:48.0:161.0:62.0:39.0:87.0:12.0:10.0:25.0
52,53,32,男,中,447:672:42:646:694:909:622:86:95:841:49:810:905:628:939:871:929:122:194,200.0:115.0:93.0:51.0:9.0:60.0:36.0:37.0:101.0:39.0:22.0:12.0:208.0:44.0:27.0:92.0:48.0:9.0:407.0,203.0:10.0:10.0:9.0:10.0:45.0:9.0:130.0:101.0:10.0:10.0:27.0:291.0:9.0:32.0:9.0:34.0:9.0:386.0
53,54,26,女,轻,949:348:931:1:6:935:685:738:94:95:115:927:908:622:624:653:473:483:822:871,51.0:390.0:10.0:107.0:44.0:13.0:50.0:10.0:40.0:62.0:9.0:40.0:10.0:9.0:9.0:9.0:126.0:167.0:10.0:299.0,51.0:390.0:10.0:121.0:28.0:13.0:50.0:10.0:39.0:61.0:9.0:40.0:10.0:9.0:9.0:9.0:126.0:167.0:10.0:299.0
54,55,40,女,重,738:96:810:939:23:468:871:666:663:611:178:646:120:885:115:211:390:921:914,38.0:101.0:36.0:63.0:150.0:278.0:11.0:79.0:9.0:72.0:29.0:75.0:9.0:288.0:9.0:360.0:28.0:41.0:10.0,10.0:102.0:38.0:45.0:150.0:10.0:277.0:9.0:9.0:340.0:9.0:9.0:9.0:22.0:9.0:361.0:41.0:36.0:14.0
55,56,36,女,中,276:870:620:8:107:908:833:817:942:878:938:910:621:640:927:950:145:120:461:667,400.0:215.0:9.0:149.0:100.0:10.0:43.0:10.0:10.0:85.0:31.0:20.0:9.0:9.0:19.0:10.0:9.0:9.0:350.0:10.0,400.0:219.0:9.0:149.0:100.0:10.0:43.0:10.0:10.0:82.0:31.0:20.0:9.0:9.0:19.0:10.0:9.0:9.0:350.0:10.0
56,57,32,男,中,99:910:552:909:858:114:340:4:104:838:444:92:908:48:817:94:505:672:683:748:877:644:929,16.0:10.0:26.0:10.0:10.0:15.0:398.0:17.0:10.0:10.0:10.0:73.0:22.0:58.0:10.0:73.0:233.0:10.0:15.0:10.0:297.0:9.0:40.0,16.0:10.0:26.0:10.0:10.0:13.0:397.0:14.0:10.0:10.0:10.0:73.0:22.0:62.0:10.0:73.0:233.0:10.0:15.0:10.0:299.0:12.0:40.0
57,58,22,男,中,878:1011:909:108:667:1:827:669:634:851:994:668:1031:908:918:127:205:450,299.0:45.0:30.0:100.0:10.0:150.0:10.0:10.0:10.0:35.0:10.0:9.0:10.0:10.0:10.0:25.0:394.0:275.0,300.0:34.0:30.0:100.0:10.0:149.0:10.0:10.0:10.0:10.0:10.0:9.0:10.0:10.0:10.0:25.0:300.0:351.0
58,59,26,男,重,1:622:100:870:151:901:204:675:311:16:935:348:41:929:732:941:890:463:912:840:836,27.0:10.0:101.0:112.0:15.0:163.0:212.0:10.0:10.0:27.0:29.0:179.0:96.0:10.0:10.0:10.0:21.0:350.0:45.0:36.0:10.0,38.0:10.0:100.0:106.0:24.0:170.0:180.0:14.0:214.0:24.0:10.0:10.0:87.0:27.0:10.0:28.0:23.0:350.0:40.0:10.0:10.0
59,60,37,女,轻,869:940:451:619:587:112:338:10:1:910:350:196:106:879:870:674:698:94:105:692:620,10.0:41.0:251.0:10.0:31.0:21.0:21.0:85.0:66.0:50.0:105.0:274.0:27.0:43.0:258.0:10.0:10.0:45.0:29.0:45.0:10.0,10.0:41.0:250.0:10.0:31.0:21.0:21.0:83.0:66.0:51.0:105.0:274.0:25.0:38.0:261.0:10.0:10.0:45.0:28.0:45.0:10.0
60,61,24,女,中,287:920:8:630:620:792:587:112:458:158:18:690:276:680:937:1:622:554:94:855:896,109.0:50.0:64.0:9.0:9.0:10.0:9.0:9.0:9.0:9.0:78.0:10.0:284.0:30.0:39.0:11.0:9.0:330.0:101.0:10.0:299.0,109.0:50.0:71.0:9.0:9.0:10.0:9.0:9.0:9.0:9.0:64.0:10.0:284.0:30.0:40.0:16.0:9.0:331.0:101.0:10.0:299.0
